Shooter,X,Y,Z,Weapon
YEKINDAR,-121.15,-737.48,-415.97,AK-47
donk,-308.21,-1111.90,-415.97,Galil AR
donk,-313.29,-1109.51,-415.97,Galil AR
YEKINDAR,-122.06,-737.06,-415.97,AK-47
donk,-319.59,-1106.36,-415.97,Galil AR
YEKINDAR,-123.28,-736.47,-415.97,AK-47
donk,-325.44,-1103.41,-415.97,Galil AR
YEKINDAR,-125.21,-735.51,-415.97,AK-47
donk,-326.53,-1102.89,-415.97,Galil AR
donk,-327.40,-1102.39,-415.97,Galil AR
donk,-326.22,-1103.05,-415.97,Galil AR
donk,-183.60,-764.75,-415.97,Molotov
donk,-199.62,-574.29,-415.97,Galil AR
FalleN,116.25,-289.25,-415.97,Five-SeveN
donk,-194.05,-580.86,-415.97,Galil AR
FalleN,119.56,-277.24,-415.47,Five-SeveN
donk,-188.48,-587.21,-415.97,Galil AR
donk,-182.98,-593.28,-415.97,Galil AR
donk,-181.93,-594.56,-415.97,Galil AR
donk,-182.31,-594.21,-415.97,Galil AR
donk,-183.99,-592.64,-415.97,Galil AR
donk,441.93,-4.52,-639.97,Smoke Grenade
chopper,473.58,-261.37,-639.97,Molotov
donk,410.70,-1317.60,-639.97,AK-47
KSCERATO,434.81,19.30,-639.97,FAMAS
donk,410.00,-1317.60,-639.97,AK-47
KSCERATO,431.46,18.80,-639.97,FAMAS
donk,410.94,-1317.63,-639.97,AK-47
KSCERATO,431.67,18.77,-639.97,FAMAS
donk,411.13,-1317.63,-639.97,AK-47
donk,410.85,-1317.63,-639.97,AK-47
KSCERATO,444.73,18.52,-639.97,FAMAS
donk,413.93,-1317.69,-639.97,AK-47
KSCERATO,443.76,18.55,-639.97,FAMAS
donk,417.69,-1317.80,-639.97,AK-47
KSCERATO,444.40,18.53,-639.97,FAMAS
donk,421.42,-1317.95,-639.97,AK-47
KSCERATO,445.50,18.51,-639.97,FAMAS
donk,424.18,-1317.96,-639.97,AK-47
KSCERATO,446.77,18.49,-639.97,FAMAS
KSCERATO,448.71,18.46,-639.97,FAMAS
KSCERATO,451.10,18.41,-639.97,FAMAS
KSCERATO,453.93,18.35,-639.97,FAMAS
KSCERATO,456.50,18.27,-639.97,FAMAS
KSCERATO,459.84,18.16,-639.97,FAMAS
KSCERATO,463.43,18.07,-639.97,FAMAS
KSCERATO,534.69,44.21,-639.97,Smoke Grenade
yuurih,1107.81,-1070.34,-767.97,MP9
yuurih,1107.71,-1070.46,-767.97,MP9
yuurih,1105.50,-1074.50,-767.97,MP9
chopper,575.71,-1264.57,-769.97,Galil AR
chopper,572.86,-1265.67,-769.97,Galil AR
chopper,572.88,-1265.66,-769.97,Galil AR
chopper,572.88,-1265.66,-769.97,Galil AR
chopper,572.88,-1265.66,-769.97,Galil AR
chopper,654.81,-1289.25,-769.97,Galil AR
yuurih,897.66,-882.51,-767.97,MP9
chopper,653.24,-1288.35,-769.97,Galil AR
yuurih,898.70,-882.28,-767.97,MP9
chopper,647.83,-1285.18,-769.97,Galil AR
chopper,805.56,-888.24,-771.97,Knife
donk,-1947.01,-1102.11,-415.97,Glock-18
donk,-1939.50,-1102.15,-415.97,Glock-18
donk,-1894.67,-1117.53,-415.97,Glock-18
donk,-1855.63,-1146.29,-415.97,Glock-18
donk,-1837.62,-1179.67,-415.97,Glock-18
donk,-1812.85,-1231.85,-407.97,Glock-18
donk,-1795.96,-1233.30,-407.97,Glock-18
donk,-1787.76,-1226.90,-407.97,Glock-18
donk,-1781.33,-1224.72,-407.97,Glock-18
donk,-1780.85,-1224.57,-407.97,Glock-18
donk,-1780.85,-1224.57,-407.97,Glock-18
donk,-1780.85,-1224.57,-407.97,Glock-18
sh1ro,-802.47,-942.88,-413.97,Knife
molodoy,1690.07,-948.74,-351.97,Smoke Grenade
donk,-1132.78,-1129.82,-366.55,Glock-18
donk,-1095.34,-1132.07,-360.50,Glock-18
FalleN,1213.89,-336.11,-415.97,Knife
zont1x,-891.97,-927.05,-374.62,Smoke Grenade
donk,-1057.91,-1134.31,-373.98,Glock-18
chopper,-1568.06,-1072.12,-374.25,Smoke Grenade
FalleN,1049.73,9.80,-415.97,Knife
chopper,-1568.06,-1072.12,-386.23,Smoke Grenade
KSCERATO,1081.39,-357.29,-127.97,Smoke Grenade
FalleN,939.47,49.45,-415.97,Knife
zont1x,-543.52,-740.76,-415.97,Knife
FalleN,819.78,72.15,-415.97,Knife
yuurih,984.39,-383.44,-127.97,HE Grenade
zont1x,-431.51,-882.30,-415.97,HE Grenade
chopper,-1564.97,-1073.23,-383.95,Smoke Grenade
zont1x,-218.46,-1097.95,-415.97,Molotov
chopper,-1616.12,-1094.05,-415.97,Knife
chopper,-334.22,-1031.61,-415.97,Galil AR
chopper,-334.04,-1031.20,-415.97,Galil AR
chopper,-334.04,-1031.20,-415.97,Galil AR
chopper,-334.04,-1031.20,-415.97,Galil AR
chopper,-334.04,-1031.20,-415.97,Galil AR
chopper,-333.30,-1029.57,-415.97,Galil AR
yuurih,850.06,-681.23,-358.77,Smoke Grenade
zont1x,138.18,-1188.24,-415.97,MAC-10
zont1x,138.17,-1188.24,-415.97,MAC-10
zont1x,138.17,-1188.24,-415.97,MAC-10
zont1x,138.17,-1188.24,-415.97,MAC-10
sh1ro,85.59,-306.35,-415.97,Molotov
FalleN,427.38,64.22,-415.97,XM1014
zweih,65.13,-19.78,-415.97,Galil AR
zweih,65.20,-20.07,-415.97,Galil AR
zweih,65.31,-20.63,-415.97,Galil AR
zweih,65.26,-20.38,-415.97,Galil AR
chopper,40.36,-434.83,-415.97,Flashbang
zweih,65.07,-19.15,-415.97,Galil AR
zweih,65.22,-19.80,-415.97,Galil AR
FalleN,433.64,39.79,-415.97,XM1014
sh1ro,101.68,-30.01,-415.97,AK-47
sh1ro,102.36,-27.54,-415.97,AK-47
sh1ro,102.87,-29.77,-415.97,AK-47
sh1ro,101.97,-24.61,-415.97,AK-47
sh1ro,99.85,-11.23,-415.97,AK-47
FalleN,437.02,38.72,-415.97,XM1014
sh1ro,99.26,-6.34,-415.97,AK-47
sh1ro,99.64,-9.38,-415.97,AK-47
sh1ro,100.33,-15.33,-415.97,AK-47
sh1ro,100.71,-18.82,-415.97,AK-47
KSCERATO,498.76,-1307.52,-415.97,MP9
chopper,110.69,-4.09,-415.97,Molotov
zont1x,126.29,-209.24,-415.97,Flashbang
YEKINDAR,706.40,-1495.50,-415.47,Smoke Grenade
donk,347.98,-1990.46,-415.97,AK-47
molodoy,1914.60,-1758.07,-415.97,M4A1
donk,347.90,-1990.00,-415.97,AK-47
molodoy,1914.14,-1754.99,-415.97,M4A1
donk,348.15,-1991.61,-415.97,AK-47
donk,348.43,-1993.47,-415.97,AK-47
donk,348.79,-1995.77,-415.97,AK-47
donk,349.29,-1999.00,-415.97,AK-47
donk,349.82,-2002.25,-415.97,AK-47
YEKINDAR,856.00,-1833.15,-407.97,FAMAS
YEKINDAR,847.00,-1829.68,-407.97,FAMAS
YEKINDAR,846.62,-1830.14,-407.97,FAMAS
YEKINDAR,847.93,-1829.44,-407.97,FAMAS
KSCERATO,510.59,-1248.26,-415.97,HE Grenade
chopper,633.42,-518.03,-749.31,Smoke Grenade
KSCERATO,778.93,-1273.65,-415.97,MP9
zont1x,-194.92,-1310.33,-415.97,MAC-10
KSCERATO,776.84,-1273.58,-415.97,MP9
zont1x,-193.22,-1311.56,-415.97,MAC-10
KSCERATO,775.92,-1269.56,-415.97,MP9
zont1x,-192.75,-1311.53,-415.97,MAC-10
KSCERATO,775.60,-1268.38,-415.97,MP9
zont1x,-192.76,-1311.21,-415.97,MAC-10
KSCERATO,775.69,-1271.75,-415.97,MP9
zont1x,-192.79,-1310.10,-415.97,MAC-10
KSCERATO,775.85,-1277.47,-415.97,MP9
KSCERATO,775.97,-1281.25,-415.97,MP9
KSCERATO,776.12,-1286.87,-415.97,MP9
KSCERATO,776.21,-1291.82,-415.97,MP9
KSCERATO,776.28,-1298.54,-415.97,MP9
KSCERATO,776.29,-1304.34,-415.97,MP9
yuurih,919.54,-1252.89,-414.97,FAMAS
KSCERATO,776.18,-1312.12,-415.97,MP9
yuurih,919.57,-1253.72,-414.97,FAMAS
yuurih,919.43,-1250.63,-414.97,FAMAS
yuurih,97.07,-1340.88,-732.97,FAMAS
yuurih,97.06,-1335.68,-732.97,FAMAS
yuurih,97.03,-1330.51,-732.97,FAMAS
yuurih,97.10,-1330.33,-732.97,FAMAS
yuurih,97.10,-1330.33,-732.97,FAMAS
chopper,644.20,-1224.31,-564.97,Galil AR
YEKINDAR,861.43,22.33,-639.97,AK-47
chopper,645.71,-1224.57,-564.97,Galil AR
YEKINDAR,859.39,22.65,-639.97,AK-47
YEKINDAR,857.16,23.03,-639.97,AK-47
YEKINDAR,854.61,23.45,-639.97,AK-47
YEKINDAR,851.32,24.00,-639.97,AK-47
sh1ro,758.52,-602.96,-767.97,AK-47
sh1ro,756.91,-601.99,-767.97,AK-47
sh1ro,757.93,-602.57,-767.97,AK-47
