Shooter,X,Y,Z,Weapon
donk,1838.42,-1584.73,-415.47,Galil AR
donk,1836.15,-1580.94,-415.69,Galil AR
zont1x,1301.03,-1257.50,-415.97,AK-47
zont1x,1300.94,-1257.32,-415.97,AK-47
yuurih,592.25,-1522.97,-415.47,FAMAS
yuurih,589.87,-1528.46,-415.47,FAMAS
yuurih,590.10,-1527.79,-415.47,FAMAS
yuurih,588.77,-1531.23,-415.47,FAMAS
sh1ro,1372.78,-1810.21,-415.97,AWP
yuurih,587.51,-1534.57,-415.47,FAMAS
yuurih,585.89,-1538.97,-415.47,FAMAS
yuurih,585.36,-1540.39,-415.47,FAMAS
yuurih,585.39,-1540.30,-415.47,FAMAS
yuurih,743.33,-453.40,-415.97,FAMAS
yuurih,740.46,-446.74,-415.97,FAMAS
yuurih,740.72,-447.37,-415.97,FAMAS
yuurih,742.56,-451.92,-415.97,FAMAS
yuurih,744.01,-455.51,-415.97,FAMAS
yuurih,744.66,-457.13,-415.97,FAMAS
yuurih,744.66,-457.13,-415.97,FAMAS
FalleN,527.80,-1033.66,-415.97,XM1014
donk,792.04,-1745.75,-415.97,AWP
donk,678.79,-1750.76,-415.97,AWP
zont1x,-1635.79,-1089.02,-415.97,Knife
zont1x,-1534.22,-1089.03,-415.97,Knife
zont1x,-1436.65,-1086.15,-415.97,Knife
zont1x,-1335.52,-1076.82,-415.97,Knife
zont1x,-1234.63,-1065.17,-415.97,Knife
zont1x,-1137.89,-1051.81,-415.97,Knife
zont1x,-1037.61,-1035.77,-415.97,Knife
zont1x,-672.11,-844.84,-415.97,Knife
zont1x,-556.04,-752.52,-407.97,Knife
FalleN,1208.97,-328.49,-415.97,Knife
YEKINDAR,1455.43,-1180.22,-415.97,Smoke Grenade
molodoy,1717.09,-1139.44,-380.18,Incendiary Grenade
chopper,-1568.00,-1072.08,-386.23,Smoke Grenade
zont1x,-378.32,-907.19,-415.97,HE Grenade
YEKINDAR,1126.72,-1468.16,-415.97,Flashbang
KSCERATO,989.83,-445.84,-127.97,Smoke Grenade
sh1ro,-272.70,-1011.01,-398.91,Knife
yuurih,1040.02,-375.01,-127.97,Incendiary Grenade
FalleN,737.72,80.35,-415.97,Incendiary Grenade
KSCERATO,791.18,-715.94,-206.97,Flashbang
FalleN,562.73,24.01,-415.97,HE Grenade
KSCERATO,893.92,-1193.29,-415.97,M4A1
KSCERATO,895.42,-1200.30,-415.97,M4A1
KSCERATO,896.76,-1207.35,-415.97,M4A1
KSCERATO,898.97,-1215.24,-415.97,M4A1
KSCERATO,902.69,-1221.16,-415.97,M4A1
KSCERATO,907.83,-1227.71,-415.97,M4A1
KSCERATO,910.96,-1234.18,-414.97,M4A1
FalleN,546.18,-120.67,-415.97,Smoke Grenade
KSCERATO,916.73,-1273.38,-414.97,M4A1
KSCERATO,916.66,-1270.17,-414.97,M4A1
KSCERATO,916.57,-1266.50,-414.97,M4A1
KSCERATO,916.41,-1261.65,-414.97,M4A1
KSCERATO,916.26,-1257.45,-414.97,M4A1
KSCERATO,916.26,-1257.41,-414.97,M4A1
KSCERATO,919.02,-1353.82,-415.97,M4A1
KSCERATO,923.70,-1357.81,-415.97,M4A1
KSCERATO,929.09,-1363.19,-415.97,M4A1
KSCERATO,932.48,-1368.70,-415.97,M4A1
KSCERATO,933.98,-1374.92,-415.97,M4A1
KSCERATO,932.80,-1381.61,-415.97,M4A1
KSCERATO,929.63,-1386.35,-415.97,M4A1
KSCERATO,749.15,-1429.02,-415.97,M4A1
KSCERATO,749.07,-1429.04,-415.97,M4A1
KSCERATO,749.07,-1429.04,-415.97,M4A1
KSCERATO,749.07,-1429.04,-415.97,M4A1
KSCERATO,749.50,-1427.70,-415.97,M4A1
KSCERATO,752.63,-1417.80,-415.97,M4A1
KSCERATO,774.31,-1326.75,-415.97,M4A1
KSCERATO,774.31,-1326.75,-415.97,M4A1
KSCERATO,774.31,-1326.75,-415.97,M4A1
KSCERATO,777.30,-1212.87,-415.97,M4A1
KSCERATO,777.54,-1209.71,-415.97,M4A1
KSCERATO,777.54,-1209.71,-415.97,M4A1
KSCERATO,777.46,-1209.02,-415.97,M4A1
sh1ro,-206.51,-1340.59,-415.97,AWP
KSCERATO,770.88,-1160.34,-415.97,M4A1
KSCERATO,771.39,-1163.07,-415.97,M4A1
KSCERATO,771.76,-1165.05,-415.97,M4A1
sh1ro,-154.56,-1237.31,-361.20,Knife
KSCERATO,699.16,-1414.91,-415.97,HE Grenade
molodoy,1466.89,-729.64,-380.33,Flashbang
KSCERATO,791.09,-1167.29,-415.97,Smoke Grenade
molodoy,1557.08,-1029.41,-415.97,Smoke Grenade
KSCERATO,716.30,-1442.80,-415.97,M4A1
KSCERATO,715.54,-1444.64,-415.97,M4A1
KSCERATO,715.54,-1444.64,-415.97,M4A1
KSCERATO,715.54,-1444.64,-415.97,M4A1
KSCERATO,715.54,-1444.64,-415.97,M4A1
KSCERATO,715.54,-1444.64,-415.97,M4A1
KSCERATO,715.58,-1444.54,-415.97,M4A1
KSCERATO,743.17,-1370.75,-415.97,M4A1
KSCERATO,748.49,-1369.19,-415.97,M4A1
KSCERATO,754.65,-1366.36,-415.97,M4A1
KSCERATO,760.00,-1363.15,-415.97,M4A1
KSCERATO,772.36,-1251.00,-415.97,M4A1
KSCERATO,772.39,-1250.46,-415.97,M4A1
KSCERATO,772.39,-1250.46,-415.97,M4A1
KSCERATO,772.39,-1250.46,-415.97,M4A1
KSCERATO,772.39,-1250.46,-415.97,M4A1
FalleN,607.26,-233.60,-415.97,Flashbang
FalleN,583.01,-126.78,-415.97,FAMAS
chopper,251.93,101.47,-352.84,Glock-18
FalleN,574.09,-133.65,-415.97,FAMAS
FalleN,563.39,-144.58,-415.97,FAMAS
chopper,252.43,141.83,-385.67,Glock-18
FalleN,553.59,-155.51,-415.97,FAMAS
chopper,259.21,141.36,-415.32,Glock-18
chopper,280.98,139.77,-415.32,Glock-18
molodoy,1055.22,31.14,-415.97,M4A1
chopper,316.04,137.43,-415.97,Glock-18
molodoy,1055.29,40.53,-415.97,M4A1
molodoy,1055.33,51.49,-415.97,M4A1
chopper,352.68,145.83,-415.97,Glock-18
zont1x,287.31,80.89,-415.32,Glock-18
molodoy,1055.42,62.52,-415.97,M4A1
FalleN,576.83,-173.09,-415.97,FAMAS
molodoy,1055.51,69.71,-415.97,M4A1
chopper,374.41,168.18,-415.97,Glock-18
FalleN,580.58,-170.63,-415.97,FAMAS
FalleN,582.80,-169.18,-415.97,FAMAS
molodoy,1055.64,78.08,-415.97,M4A1
chopper,374.56,180.21,-415.97,Glock-18
FalleN,584.54,-168.15,-415.97,FAMAS
molodoy,1055.73,85.25,-415.97,M4A1
FalleN,584.77,-168.01,-415.97,FAMAS
molodoy,1055.78,92.42,-415.97,M4A1
chopper,377.16,191.92,-415.97,Glock-18
FalleN,584.71,-168.05,-415.97,FAMAS
molodoy,1055.93,100.84,-415.97,M4A1
FalleN,584.71,-168.05,-415.97,FAMAS
molodoy,1056.45,107.74,-415.97,M4A1
FalleN,584.71,-168.05,-415.97,FAMAS
molodoy,1056.46,108.67,-415.97,M4A1
FalleN,584.75,-168.62,-415.97,FAMAS
molodoy,1057.14,112.92,-415.97,M4A1
molodoy,1111.27,-10.43,-415.97,Incendiary Grenade
FalleN,732.62,-12.81,-415.97,FAMAS
FalleN,732.62,-12.81,-415.97,FAMAS
FalleN,732.62,-12.81,-415.97,FAMAS
sh1ro,65.07,7.93,-415.97,AWP
FalleN,732.62,-12.81,-415.97,FAMAS
FalleN,732.62,-12.81,-415.97,FAMAS
FalleN,732.44,-16.61,-415.97,FAMAS
FalleN,330.67,121.66,-415.97,FAMAS
FalleN,328.63,118.28,-415.97,FAMAS
FalleN,329.38,116.16,-415.97,FAMAS
FalleN,330.17,115.27,-415.97,FAMAS
donk,1283.92,-2048.87,-407.97,Desert Eagle
molodoy,205.46,-199.12,-415.97,M4A1
KSCERATO,386.01,-982.01,-255.97,M4A1
donk,785.17,-1706.49,-415.97,M4A1
molodoy,200.72,-195.29,-415.97,M4A1
KSCERATO,385.20,-981.24,-255.97,M4A1
donk,788.72,-1704.79,-415.97,M4A1
yuurih,293.96,-696.50,-127.97,M4A1
molodoy,200.56,-194.99,-415.97,M4A1
KSCERATO,381.98,-982.96,-255.97,M4A1
donk,792.98,-1702.53,-415.97,M4A1
yuurih,294.18,-696.39,-127.97,M4A1
molodoy,200.56,-194.99,-415.97,M4A1
KSCERATO,378.91,-984.62,-255.97,M4A1
yuurih,293.65,-696.65,-127.97,M4A1
molodoy,200.55,-195.14,-415.97,M4A1
KSCERATO,377.16,-985.61,-255.97,M4A1
molodoy,200.26,-200.40,-415.97,M4A1
yuurih,292.34,-697.30,-127.97,M4A1
KSCERATO,374.85,-986.95,-255.97,M4A1
yuurih,291.13,-697.90,-127.97,M4A1
KSCERATO,372.64,-988.26,-255.97,M4A1
yuurih,290.84,-698.05,-127.97,M4A1
KSCERATO,625.24,-1474.70,-415.47,Knife
zont1x,-1795.03,-1155.76,-415.97,Tec-9
donk,-1847.60,-1118.78,-415.97,Glock-18
chopper,-1642.12,-1167.66,-415.97,Glock-18
donk,-1808.33,-1146.67,-415.97,Glock-18
chopper,-1615.18,-1216.85,-415.97,Glock-18
donk,-1778.93,-1168.75,-415.97,Glock-18
zont1x,-1662.03,-1184.99,-415.97,Tec-9
chopper,-1596.70,-1239.44,-415.97,Glock-18
donk,-1711.02,-1181.08,-415.97,Glock-18
chopper,-1574.50,-1262.33,-415.97,Glock-18
donk,-1666.30,-1176.48,-415.97,Glock-18
zont1x,-1512.91,-1176.07,-415.97,Tec-9
donk,-1619.77,-1164.08,-415.97,Glock-18
chopper,-1567.72,-1270.15,-407.97,Glock-18
donk,-1576.19,-1152.84,-415.97,Glock-18
molodoy,1483.91,-1173.87,-415.97,Smoke Grenade
YEKINDAR,1710.82,-1128.17,-376.99,Incendiary Grenade
donk,-681.12,-1284.44,-415.97,Smoke Grenade
molodoy,1203.66,-1457.03,-415.97,Flashbang
KSCERATO,1011.85,-415.22,-127.97,Incendiary Grenade
zont1x,-891.96,-927.03,-383.00,Smoke Grenade
yuurih,959.98,-351.69,-127.97,HE Grenade
YEKINDAR,1128.91,-1484.50,-415.97,Flashbang
zont1x,-809.76,-918.64,-413.97,Knife
donk,-337.81,-1749.39,-415.97,Flashbang
zont1x,-729.27,-865.62,-415.97,Knife
KSCERATO,769.82,-740.40,-206.97,Flashbang
zont1x,-645.95,-807.54,-415.97,Knife
FalleN,549.05,116.27,-414.97,Incendiary Grenade
zont1x,-542.90,-744.43,-415.97,Knife
zont1x,-398.55,-885.42,-415.97,HE Grenade
zweih,-340.97,-1168.56,-124.12,Molotov
zont1x,-574.50,-797.34,-407.97,Knife
donk,-168.32,-1815.37,-415.97,HE Grenade
KSCERATO,606.19,-1171.72,-366.97,Smoke Grenade
chopper,-1567.97,-1072.05,-376.42,Smoke Grenade
chopper,-1567.97,-1072.05,-372.30,Smoke Grenade
sh1ro,-604.75,-1320.01,-385.94,Flashbang
chopper,-1564.53,-1073.29,-385.45,Smoke Grenade
molodoy,1472.08,-2266.39,-415.97,AWP
donk,486.99,-2322.06,-415.97,AK-47
donk,487.01,-2322.38,-415.97,AK-47
donk,486.95,-2321.47,-415.97,AK-47
donk,486.95,-2321.47,-415.97,AK-47
donk,486.96,-2321.63,-415.97,AK-47
donk,487.08,-2323.81,-415.97,AK-47
donk,487.07,-2323.62,-415.97,AK-47
donk,487.09,-2324.03,-415.97,AK-47
YEKINDAR,775.68,-1574.54,-415.97,Smoke Grenade
FalleN,893.59,719.94,-479.97,Flashbang
YEKINDAR,1073.61,-1558.36,-415.97,M4A1
donk,709.66,-2440.52,-415.97,AK-47
YEKINDAR,1070.23,-1556.80,-415.97,M4A1
donk,713.30,-2442.10,-415.97,AK-47
yuurih,661.20,-552.26,-415.97,Incendiary Grenade
YEKINDAR,1070.94,-1557.09,-415.97,M4A1
YEKINDAR,1069.94,-1556.69,-415.97,M4A1
YEKINDAR,1068.63,-1556.16,-415.97,M4A1
YEKINDAR,1066.57,-1555.35,-415.97,M4A1
zweih,630.93,-1752.74,-229.59,HE Grenade
FalleN,626.75,640.71,-479.97,Smoke Grenade
zont1x,1039.83,-2458.17,-415.97,AK-47
zont1x,1041.56,-2457.36,-415.97,AK-47
zont1x,1041.56,-2457.36,-415.97,AK-47
zont1x,1042.91,-2457.46,-415.97,AK-47
YEKINDAR,1390.42,-1952.44,-415.97,M4A1
YEKINDAR,1387.10,-1956.22,-415.97,M4A1
YEKINDAR,1386.50,-1956.81,-415.97,M4A1
YEKINDAR,1388.66,-1953.68,-415.97,M4A1
YEKINDAR,1390.78,-1950.60,-415.97,M4A1
YEKINDAR,1393.13,-1947.13,-415.97,M4A1
YEKINDAR,1396.12,-1942.57,-415.97,M4A1
chopper,17.27,-2060.13,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
FalleN,710.79,215.00,-600.58,Knife
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.27,-2059.34,-415.97,AK-47
chopper,17.13,-2055.90,-415.97,AK-47
FalleN,829.02,-127.92,-639.97,P2000
yuurih,557.01,-1235.66,-415.97,M4A1
chopper,53.16,-1946.25,-415.97,AK-47
chopper,53.14,-1946.12,-415.97,AK-47
chopper,53.16,-1946.48,-415.97,AK-47
chopper,53.16,-1946.48,-415.97,AK-47
chopper,53.16,-1946.48,-415.97,AK-47
chopper,53.16,-1946.48,-415.97,AK-47
chopper,53.16,-1946.48,-415.97,AK-47
chopper,53.19,-1946.88,-415.97,AK-47
yuurih,340.34,-1004.49,-635.97,Smoke Grenade
FalleN,1452.42,-953.31,-767.97,M4A1
zont1x,1133.46,-1038.36,-767.97,AK-47
FalleN,1449.06,-951.34,-767.97,M4A1
zont1x,1135.59,-1041.36,-767.97,AK-47
FalleN,1448.82,-952.01,-767.97,M4A1
zont1x,1135.92,-1041.86,-767.97,AK-47
FalleN,1448.82,-952.01,-767.97,M4A1
zont1x,1135.69,-1041.06,-767.97,AK-47
FalleN,1448.82,-952.01,-767.97,M4A1
FalleN,1448.82,-952.01,-767.97,M4A1
FalleN,1448.82,-952.01,-767.97,M4A1
FalleN,1448.82,-952.01,-767.97,M4A1
FalleN,1448.72,-951.69,-767.97,M4A1
FalleN,1454.21,-973.93,-767.97,M4A1
FalleN,1452.89,-967.99,-767.97,M4A1
FalleN,1451.39,-961.65,-767.97,M4A1
FalleN,1307.63,-791.76,-698.47,M4A1
yuurih,679.13,-1164.77,-564.72,M4A1
yuurih,678.84,-1163.98,-564.72,M4A1
yuurih,678.81,-1163.91,-564.72,M4A1
yuurih,678.60,-1163.35,-564.72,M4A1
yuurih,678.39,-1162.79,-564.72,M4A1
yuurih,678.37,-1162.73,-564.72,M4A1
yuurih,678.70,-1163.62,-564.72,M4A1
FalleN,1248.98,-507.88,-639.97,M4A1
FalleN,1244.04,-508.83,-639.97,M4A1
sh1ro,1325.11,-875.74,-754.45,AWP
FalleN,1218.53,-514.54,-639.97,M4A1
FalleN,1218.28,-514.59,-639.97,M4A1
FalleN,1218.28,-514.59,-639.97,M4A1
FalleN,1217.89,-514.69,-639.97,M4A1
FalleN,937.00,-605.38,-639.97,P2000
FalleN,939.49,-630.64,-639.97,P2000
FalleN,922.85,-779.70,-639.97,P2000
FalleN,943.97,-790.26,-639.97,P2000
FalleN,943.97,-790.26,-639.97,P2000
FalleN,943.97,-790.26,-639.97,P2000
FalleN,923.46,-771.74,-639.97,P2000
sh1ro,978.10,-583.16,-639.97,AWP
FalleN,815.89,-767.34,-637.98,P2000
sh1ro,953.82,-596.52,-639.97,AWP
sh1ro,912.95,-717.26,-608.14,Knife
YEKINDAR,1148.65,-1111.04,-747.27,M4A1
YEKINDAR,1155.34,-1108.46,-748.99,M4A1
YEKINDAR,1163.23,-1105.67,-750.85,M4A1
KSCERATO,1072.07,-1509.74,-639.97,M4A1
YEKINDAR,1170.05,-1103.45,-752.33,M4A1
KSCERATO,1072.08,-1504.09,-639.97,M4A1
YEKINDAR,1176.87,-1101.24,-753.80,M4A1
KSCERATO,1072.06,-1503.61,-639.97,M4A1
KSCERATO,678.46,-1598.08,-634.47,Knife
KSCERATO,577.23,-1601.47,-639.97,Knife
chopper,-1767.64,-1211.72,-407.97,Tec-9
chopper,-1714.05,-1210.80,-407.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
chopper,-1694.52,-1210.12,-415.97,Tec-9
YEKINDAR,1722.73,-1119.12,-374.41,Molotov
donk,-677.66,-1323.72,-415.97,Smoke Grenade
YEKINDAR,1425.85,-1236.24,-415.97,Smoke Grenade
YEKINDAR,1192.98,-1428.40,-415.97,Flashbang
molodoy,924.04,62.82,-415.97,Incendiary Grenade
KSCERATO,996.00,-424.03,-127.97,Incendiary Grenade
FalleN,1057.72,-354.90,-127.97,Incendiary Grenade
zont1x,-436.39,-860.01,-415.97,HE Grenade
KSCERATO,783.64,-720.23,-206.97,Flashbang
FalleN,974.27,-366.06,-127.97,HE Grenade
KSCERATO,777.01,-1109.77,-415.97,Smoke Grenade
molodoy,665.91,246.76,-414.97,Smoke Grenade
zont1x,-320.78,-1038.01,-415.97,Tec-9
zont1x,-320.78,-1038.01,-415.97,Tec-9
chopper,-732.89,-1322.14,-379.91,Smoke Grenade
chopper,-732.89,-1322.14,-364.41,Smoke Grenade
YEKINDAR,783.81,-1455.94,-415.97,M4A1
YEKINDAR,783.81,-1455.94,-415.97,M4A1
YEKINDAR,783.81,-1455.94,-415.97,M4A1
YEKINDAR,783.81,-1455.94,-415.97,M4A1
YEKINDAR,783.81,-1455.94,-415.97,M4A1
YEKINDAR,676.40,-1474.15,-415.47,HE Grenade
KSCERATO,850.35,-1268.27,-415.97,HE Grenade
molodoy,569.88,675.96,-479.97,HE Grenade
YEKINDAR,590.96,-1445.97,-415.97,M4A1
YEKINDAR,556.87,-1409.49,-415.97,M4A1
KSCERATO,820.77,-1259.88,-415.97,Smoke Grenade
molodoy,827.23,272.21,-415.97,AWP
FalleN,1557.55,-474.68,-393.60,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1557.56,-474.66,-393.59,M4A1
FalleN,1556.86,-474.38,-394.06,M4A1
FalleN,1195.37,-349.21,-415.97,Flashbang
donk,1040.31,-1359.65,-407.97,Desert Eagle
KSCERATO,932.47,-1393.14,-415.97,Smoke Grenade
zweih,1145.20,-360.52,-127.97,Desert Eagle
yuurih,319.59,-310.98,-127.97,M4A4
zweih,1143.90,-405.70,-127.97,Desert Eagle
yuurih,319.69,-311.11,-127.97,M4A4
yuurih,319.62,-311.79,-127.97,M4A4
yuurih,319.50,-312.69,-127.97,M4A4
yuurih,319.32,-314.20,-127.97,M4A4
yuurih,319.12,-316.16,-127.97,M4A4
yuurih,319.16,-315.83,-127.97,M4A4
yuurih,319.26,-314.83,-127.97,M4A4
donk,1146.66,-458.52,-155.50,M4A1
donk,1146.66,-443.99,-175.27,M4A1
donk,1146.66,-441.94,-171.59,M4A1
donk,1146.66,-432.56,-181.80,M4A1
donk,1146.66,-430.35,-197.56,M4A1
donk,1146.66,-430.59,-199.19,M4A1
donk,1146.66,-430.20,-185.97,M4A1
donk,1146.66,-430.97,-185.78,M4A1
donk,1146.66,-433.24,-201.48,M4A1
yuurih,311.30,-338.62,-127.97,M4A4
yuurih,308.06,-350.46,-127.97,M4A4
yuurih,308.23,-565.87,-127.97,M4A4
yuurih,308.48,-566.63,-127.97,M4A4
yuurih,308.48,-566.63,-127.97,M4A4
yuurih,308.48,-566.63,-127.97,M4A4
yuurih,309.38,-573.78,-127.97,M4A4
yuurih,330.51,-776.57,-127.97,Incendiary Grenade
donk,1274.28,-964.08,-415.97,M4A1
donk,1272.83,-963.20,-415.97,M4A1
donk,1264.50,-961.52,-415.97,M4A1
YEKINDAR,1109.26,-2296.13,-415.97,M4A1
donk,1258.33,-960.53,-415.97,M4A1
YEKINDAR,1114.23,-2296.69,-415.97,M4A1
YEKINDAR,1118.43,-2297.15,-415.97,M4A1
YEKINDAR,1120.83,-2297.39,-415.97,M4A1
YEKINDAR,1123.35,-2297.65,-415.97,M4A1
chopper,1252.80,-1398.04,-415.97,Tec-9
chopper,1254.16,-1398.24,-415.97,Tec-9
chopper,1254.10,-1398.22,-415.97,Tec-9
yuurih,423.79,-972.69,-255.97,HE Grenade
molodoy,601.06,-1278.37,-769.97,AWP
chopper,536.92,-274.20,-639.97,Tec-9
chopper,596.24,-579.96,-767.97,Smoke Grenade
molodoy,653.70,-1260.40,-769.97,Flashbang
chopper,675.39,-1052.75,-771.97,Tec-9
chopper,713.27,-1041.28,-771.97,Tec-9
chopper,747.97,-1037.94,-771.97,Tec-9
chopper,761.71,-1051.20,-771.97,Tec-9
chopper,764.85,-1077.01,-769.97,Tec-9
yuurih,153.21,-1334.81,-775.97,M4A4
yuurih,151.02,-1337.55,-775.97,M4A4
yuurih,150.70,-1337.39,-775.97,M4A4
yuurih,151.22,-1340.60,-775.97,M4A4
yuurih,151.52,-1342.39,-775.97,M4A4
yuurih,151.52,-1342.39,-775.97,M4A4
yuurih,151.54,-1342.63,-775.97,M4A4
yuurih,151.98,-1347.37,-775.97,M4A4
yuurih,152.18,-1349.59,-775.97,M4A4
yuurih,152.20,-1349.83,-775.97,M4A4
yuurih,152.20,-1349.83,-775.97,M4A4
yuurih,131.75,-1393.09,-775.97,M4A4
yuurih,132.05,-1393.46,-775.97,M4A4
yuurih,132.05,-1393.46,-775.97,M4A4
yuurih,132.46,-1393.77,-775.97,M4A4
yuurih,415.28,-1126.75,-767.97,M4A4
yuurih,417.48,-1120.99,-767.97,M4A4
yuurih,419.51,-1124.55,-767.97,M4A4
yuurih,422.72,-1134.74,-767.97,M4A4
yuurih,426.37,-1149.55,-765.97,M4A4
chopper,1308.26,-935.96,-767.97,AWP
KSCERATO,354.10,-1174.08,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,355.08,-1177.20,-767.97,AK-47
KSCERATO,806.22,-1127.34,-768.97,Knife
KSCERATO,984.04,-1024.03,-767.97,Knife
KSCERATO,1075.64,-1004.08,-767.97,Knife
KSCERATO,1306.39,-697.59,-639.97,USP-S
KSCERATO,1282.71,-655.29,-639.97,USP-S
chopper,-1830.86,-1161.16,-415.97,Glock-18
donk,-1914.41,-1118.87,-415.97,Glock-18
chopper,-1797.57,-1197.88,-415.97,Glock-18
donk,-1875.91,-1135.47,-415.97,Glock-18
donk,-1764.48,-1168.28,-415.97,Glock-18
donk,-1710.73,-1172.57,-415.97,Glock-18
donk,-1659.20,-1194.22,-415.97,Glock-18
chopper,-1741.17,-1215.14,-407.97,Glock-18
donk,-1606.09,-1221.06,-415.97,Glock-18
donk,-1555.91,-1223.40,-415.97,Glock-18
chopper,-1664.10,-1199.16,-415.97,Glock-18
donk,-1500.88,-1212.18,-415.97,Glock-18
chopper,-1617.04,-1195.04,-415.97,Glock-18
zont1x,-891.96,-927.03,-388.38,Smoke Grenade
donk,-708.15,-1267.57,-415.97,Smoke Grenade
YEKINDAR,1737.86,-1104.45,-370.19,Incendiary Grenade
YEKINDAR,1460.99,-1220.85,-415.97,Smoke Grenade
molodoy,987.70,32.04,-415.32,Incendiary Grenade
KSCERATO,976.72,-465.19,-127.97,Incendiary Grenade
zont1x,-536.19,-743.59,-415.97,Knife
zweih,-341.53,-1167.12,-124.45,Molotov
FalleN,1009.41,-407.21,-127.97,Incendiary Grenade
YEKINDAR,1189.50,-1428.66,-415.97,Flashbang
donk,-223.54,-1813.42,-415.97,Flashbang
molodoy,730.53,111.99,-414.97,HE Grenade
chopper,-732.88,-1322.14,-362.12,Smoke Grenade
zont1x,-389.47,-901.39,-415.97,HE Grenade
yuurih,1027.29,-398.55,-127.97,HE Grenade
zweih,-51.66,-1141.61,-156.12,Knife
zont1x,-176.40,-1114.31,-415.97,Molotov
chopper,-732.88,-1322.14,-382.17,Smoke Grenade
KSCERATO,773.48,-1130.21,-415.97,Smoke Grenade
KSCERATO,863.07,-1124.81,-415.97,HE Grenade
zont1x,142.02,-1184.06,-415.97,AK-47
zont1x,142.02,-1184.06,-415.97,AK-47
zont1x,142.02,-1184.06,-415.97,AK-47
FalleN,782.66,-714.20,-206.97,HE Grenade
zont1x,142.02,-1184.06,-415.97,AK-47
zont1x,142.02,-1184.06,-415.97,AK-47
KSCERATO,737.31,-1440.88,-415.97,M4A1
KSCERATO,736.07,-1442.93,-415.97,M4A1
KSCERATO,736.06,-1442.95,-415.97,M4A1
KSCERATO,736.25,-1442.40,-415.97,M4A1
KSCERATO,736.31,-1442.21,-415.97,M4A1
KSCERATO,736.31,-1442.21,-415.97,M4A1
KSCERATO,736.31,-1442.21,-415.97,M4A1
KSCERATO,736.31,-1442.21,-415.97,M4A1
KSCERATO,736.31,-1442.21,-415.97,M4A1
chopper,-648.82,-1398.44,-370.72,Flashbang
KSCERATO,672.61,-1500.61,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,671.79,-1502.07,-415.97,M4A1
KSCERATO,670.71,-1501.30,-415.97,M4A1
zweih,39.57,-1462.83,-40.43,Flashbang
FalleN,748.62,-659.63,-206.97,M4A1
FalleN,749.01,-659.78,-206.97,M4A1
FalleN,749.01,-659.78,-206.97,M4A1
FalleN,749.01,-659.78,-206.97,M4A1
FalleN,749.01,-659.78,-206.97,M4A1
FalleN,749.01,-659.78,-206.97,M4A1
KSCERATO,337.31,-1216.19,-415.97,M4A1
KSCERATO,337.31,-1216.06,-415.97,M4A1
KSCERATO,335.05,-1233.53,-415.97,M4A1
donk,484.55,-2311.38,-415.97,Molotov
FalleN,920.83,-1110.13,-414.97,Smoke Grenade
chopper,29.08,-2006.71,-415.97,Smoke Grenade
sh1ro,479.74,-2294.46,-415.97,Molotov
donk,616.35,-1881.49,-410.22,AK-47
donk,616.66,-1884.82,-410.77,AK-47
molodoy,828.83,-113.15,-639.97,USP-S
chopper,217.55,-2063.70,-367.97,Molotov
donk,625.15,-1957.43,-415.97,AK-47
donk,628.14,-1974.36,-415.97,AK-47
chopper,202.16,-2061.12,-367.97,Flashbang
zont1x,167.31,-1200.07,-415.97,AK-47
zont1x,167.31,-1200.07,-415.97,AK-47
FalleN,676.25,-1483.76,-415.47,M4A1
zont1x,167.31,-1200.07,-415.97,AK-47
FalleN,676.14,-1484.38,-415.47,M4A1
